id,firstName,lastName,age,gender,about,phoneNumber,countryCode,email,location,preference,isSponsor,createdAt,updatedAt,imageUrl,profession,score,deviceToken
U001,Shubham,Jain,23,Male,,2227805964,91,jain.shubham102@gmail.com,Brookefield,"['Belgian', 'Naga', 'BBQ', 'North Indian', 'Asian', 'Parsi', 'Middle Eastern']",1,20-04-2020 20:21:15,04-05-2020 00:33:57,,consultant,5,596241
U002,Akshay,Mor,29,Male,,7617086722,91,akshaymor@gmail.com,JP Nagar,"['African', 'Odia']",1,11-01-2020 06:44:17,28-04-2020 11:12:00,,Teacher,8,903700
U003,Ankit,Yadav,30,Male,,3534284152,91,ankityadav@gmail.com,Kalyan Nagar,"['Assamese', 'Chettinad', 'Juices', 'Burger', 'Tex-Mex', 'British', 'Raw Meats', 'Bar Food', 'Wraps']",0,14-02-2020 02:26:04,07-05-2020 12:55:12,,Doctor,5,767887
U004,Rohit,Kumar,26,Male,,9555348818,91,rohitkumar@gmail.com,Frazer Town,"['Momos', 'Salad', 'Salad', 'Vietnamese']",0,02-04-2020 03:17:15,08-05-2020 17:04:17,,House wife,0,579673
U005,Amisha,Singla,27,Female,,3062952082,91,amishasingla@gmail.com,Indiranagar,"['Spanish', 'Steak', 'Rolls']",1,18-01-2020 06:46:03,27-04-2020 09:00:26,,Tax analyst ,0,837111
U006,Poonam ,Jain,29,Female,,8904869297,91,poonamjain@gmail.com,JP Nagar,"['Mexican', 'Mangalorean', 'Cafe', 'Lucknowi', 'African', 'Afghan', 'Malwani', 'Pizza', 'Awadhi']",1,21-02-2020 13:06:22,24-04-2020 15:56:18,,Teacher,1,475554
U007,Kunal,Khurana,23,Male,,2555677326,91,kunal@gmail.com,Brookefield,"['Bengali', 'Iranian', 'Wraps', 'Naga', 'Drinks Only', 'Mughlai', 'Andhra', 'Moroccan', 'Burmese', 'Japanese']",1,17-01-2020 11:17:18,07-05-2020 16:30:31,,consultant,7,788291
U008,Mayank,Kumar,33,Male,,9000732712,91,mayank@gmail.com,Banashankari,"['Momos', 'Charcoal Chicken', 'Hot dogs', 'Odia', 'Chinese']",1,16-04-2020 20:21:29,05-05-2020 20:17:36,,Businessman,6,149719
U009,Abhishek,Yadav,18,Male,,4615889259,91,abhishek1yadav@gmail.com,Banashankari,"['Peruvian', 'Gujarati', 'Portuguese', 'Bihari', 'Middle Eastern', 'Momos']",1,18-03-2020 21:49:09,25-04-2020 16:13:25,,Student ,2,533157
U010,Nitin,Modi,34,Male,,5957211908,91,nitinmodi@gmail.com,Bannerghatta Road,"['Salad', 'Australian', 'Chinese', 'Chettinad']",0,03-03-2020 13:48:31,02-05-2020 04:45:52,,Scientist,4,005924
U011,Riya,Ranga,19,Female,,1017242868,91,riyaranga@gmail.com,Kalyan Nagar,"['Cafe', 'BBQ', 'Modern Indian', 'Tibetan', 'Cantonese', 'Tea', 'Coffee', 'German', 'Lucknowi', 'Rajasthani']",0,14-01-2020 16:33:02,08-05-2020 01:16:53,,Lawyer,5,140246
U012,Diksha,Sharma,30,Female,,7212925216,91,diksha@gmail.com,Electronic City,"['Awadhi', 'European', 'Finger Food', 'Bakery', 'Cantonese', 'Bihari', 'Salad', 'Chettinad']",1,03-04-2020 15:38:03,07-05-2020 22:50:10,,Doctor,2,359606
U013,Pundrik ,Sharma,25,Male,,5018395808,91,sharmapundrik@gmail.com,Kammanahalli,"['South American', 'North Eastern', 'Mediterranean', 'Indonesian', 'European', 'Sandwich', 'Cantonese', 'Korean', 'Mishti']",0,17-04-2020 13:38:54,01-05-2020 16:47:26,,Banker,4,063463
